codigo,fechamento_atual,abertura,maximo,minimo,fechamento_anterior,negocios,quantidade_papeis,volume_financeiro,datahora
ABEV3,16.22,16.27,16.27,16.19,16.33,235,134200,2186400,201701021000
ABEV3,16.22,16.22,16.23,16.21,16.22,96,28700,467389,201701021015
ABEV3,16.21,16.22,16.22,16.2,16.22,101,32400,527347,201701021030
ABEV3,16.22,16.21,16.23,16.19,16.21,156,65200,1061225,201701021045
ABEV3,16.22,16.22,16.23,16.21,16.22,98,30100,490378,201701021100
ABEV3,16.26,16.22,16.27,16.2,16.22,91,37900,617931,201701021115
ABEV3,16.3,16.27,16.31,16.25,16.26,277,127900,2091998,201701021130
ABEV3,16.3,16.31,16.31,16.28,16.3,111,30500,499229,201701021145
ABEV3,16.28,16.29,16.3,16.28,16.3,163,57900,946880,201701021200
ABEV3,16.28,16.28,16.29,16.28,16.28,105,45100,737494,201701021215
ABEV3,16.3,16.29,16.3,16.28,16.28,157,43400,709903,201701021230
ABEV3,16.3,16.3,16.31,16.3,16.3,68,15100,247265,201701021245
ABEV3,16.3,16.31,16.32,16.29,16.3,205,113200,1852878,201701021300
ABEV3,16.32,16.31,16.32,16.29,16.3,349,109900,1799709,201701021315
ABEV3,16.47,16.32,16.51,16.32,16.32,508,278900,4608862,201701021330
ABEV3,16.53,16.48,16.55,16.47,16.47,348,182800,3031786,201701021345
ABEV3,16.54,16.53,16.54,16.53,16.53,168,37400,621065,201701021400
ABEV3,16.57,16.54,16.58,16.53,16.54,384,154100,2562514,201701021415
ABEV3,16.57,16.57,16.59,16.56,16.57,386,169100,2813849,201701021430
ABEV3,16.56,16.57,16.57,16.53,16.57,356,114200,1898966,201701021445
ABEV3,16.56,16.55,16.56,16.54,16.56,361,91000,1512766,201701021500
ABEV3,16.52,16.56,16.56,16.5,16.56,360,98900,1642385,201701021515
ABEV3,16.44,16.52,16.53,16.42,16.52,354,115100,1905796,201701021530
ABEV3,16.38,16.42,16.43,16.35,16.44,427,149300,2456773,201701021545
ABEV3,16.37,16.37,16.39,16.35,16.38,279,134000,2201220,201701021600
ABEV3,16.4,16.37,16.41,16.36,16.37,201,84800,1395482,201701021615
